             Date       Close        High         Low        Open      Volume
10125  2021-02-09  133.196808  135.028140  133.040129  133.794191    76774200
10126  2021-02-10  132.589600  134.156511  131.620071  133.657051    73046600
10127  2021-02-11  132.335007  133.568940  131.003136  133.089069    64280000
10128  2021-02-12  132.570053  132.726747  130.924809  131.571161    60145100
10129  2021-02-16  130.435104  133.196768  130.043369  132.687534    80576300
10130  2021-02-17  128.133728  129.485189  126.792070  128.535251    97918500
10131  2021-02-18  127.027122  127.311118  124.774692  126.527662    96856700
10132  2021-02-19  127.183769  128.006406  126.135909  127.546126    87668800
10133  2021-02-22  123.393845  127.036902  123.002117  125.362265   103916400
10134  2021-02-23  123.256744  124.089162  115.941251  121.200182   158273000
10135  2021-02-24  122.757286  122.962942  119.701824  122.355770   111039900
10136  2021-02-25  118.487473  123.844334  118.046783  122.101152   148199500
10137  2021-02-26  118.751892  122.267634  118.693128  120.054377   164560400
10138  2021-03-01  125.146828  125.283931  120.250246  121.190389   116307900
10139  2021-03-02  122.532043  126.057580  122.424318  125.753995   102260900
10140  2021-03-03  119.535332  123.109837  119.319881  122.228451   112966300
10141  2021-03-04  117.645264  121.043492  116.166501  119.231759   178155000
10142  2021-03-05  118.908577  119.417826  115.138211  118.477683   153766600
10143  2021-03-08  113.953232  118.497258  113.806333  118.428706   154376600
10144  2021-03-09  118.585411  119.535349  116.332988  116.568022   129525800
10145  2021-03-10  117.498367  119.643065  116.979323  119.172997   111943300
10146  2021-03-11  119.437401  120.661546  118.751882  120.005406   103026500
10147  2021-03-12  118.526657  118.663761  116.695340  117.909690    88105100
10148  2021-03-15  121.425400  121.435195  117.929242  118.898770    92403800
10149  2021-03-16  122.972748  124.588621  122.140330  123.100056   115227900
10150  2021-03-17  122.179482  123.256728  119.809531  121.484168   111932600
10151  2021-03-18  118.036972  120.632161  117.831317  120.338363   121229700
10152  2021-03-19  117.508148  118.918366  117.204563  117.420013   185549500
10153  2021-03-22  120.837807  121.307882  117.772550  117.841102   111912300
10154  2021-03-23  120.005417  121.670252  119.613689  120.779078    95467100
10155  2021-03-24  117.606087  120.357971  117.586504  120.279623    88530500
10156  2021-03-25  118.095734  119.143609  116.538625  117.067456    98844700
10157  2021-03-26  118.702919  118.967339  116.460284  117.860706    94071200
10158  2021-03-29  118.879181  120.044569  118.232836  119.133805    80819200
10159  2021-03-30  117.420013  117.909672  116.401524  117.625669    85671900
10160  2021-03-31  119.623482  120.965140  118.644165  119.133824   118323800
10161  2021-04-01  120.455894  121.611488  119.956441  121.102247    75089100
10162  2021-04-05  123.295906  123.550530  120.524440  121.307895    88651200
10163  2021-04-06  123.599495  124.500464  123.051080  123.883498    80171300
10164  2021-04-07  125.254539  125.274123  122.551625  123.227355    83466700
10165  2021-04-08  127.663658  127.693036  125.861720  126.282819    88844600
10166  2021-04-09  130.249054  130.288220  126.792069  127.115245   106686700
10167  2021-04-12  128.525436  130.102136  127.928053  129.778960    91420000
10168  2021-04-13  131.649460  131.874713  129.201170  129.700630    91266500
10169  2021-04-14  129.299149  132.207720  128.936806  132.148963    87222800
10170  2021-04-15  131.718018  132.207676  130.875805  131.052090    89347100
10171  2021-04-16  131.385071  131.884517  130.523268  131.522174    84922400
10172  2021-04-19  132.050964  132.667938  130.581990  130.748472    94264200
10173  2021-04-20  130.356796  132.726740  129.083682  132.227294    94812300
10174  2021-04-21  130.738693  130.983522  128.584201  129.622274    68847100
10175  2021-04-22  129.210953  131.375233  128.691916  130.288191    84566500
10176  2021-04-23  131.541763  132.325204  129.426437  129.426437    78657500
10177  2021-04-26  131.933456  132.266420  130.797446  132.041182    66905100
10178  2021-04-27  131.610291  132.609197  131.336083  132.217462    66015800
10179  2021-04-28  130.817078  132.227296  130.327419  131.531974   107760100
10180  2021-04-29  130.719131  134.234888  129.710437  133.647292   151101000
10181  2021-04-30  128.740906  130.797461  128.358973  129.054279   109839500
10182  2021-05-03  129.798569  131.296936  129.103263  129.308911    75135100
10183  2021-05-04  125.205574  128.770292  124.079359  128.476494   137564700
10184  2021-05-05  125.450417  127.751801  125.323101  126.527655    84000900
10185  2021-05-06  127.056503  127.066291  124.500480  125.244762    78128300
10186  2021-05-07  127.733360  128.763377  127.017234  128.361187    78973300
